"ML1"	"ML2"	"ML3"
"STAI.Trait"	0.87371521987647	-0.0265101030237566	-0.124122713155573
"PSS"	0.865240723844413	-0.100477172555184	-0.0525631725678407
"X16PF.Emot..Stabil."	-0.754340889165632	-0.147637205455253	0.195504754696268
"X16PF.Apprehension"	0.710446961104657	0.13240862355408	0.0926503226224988
"BDI.Total"	0.66585862005422	-0.148635006597078	-0.111412948311492
"EQ"	-0.534409489691456	0.130545431506856	0.264700445294424
"X16PF.Tension"	0.476060145475552	0.163339207517887	-0.0625333220068696
"PANAS.Positive"	-0.456213723300353	-0.186300661793539	0.287429088835658
"PANAS.Negative"	0.450315128533317	-0.0723265729035613	0.0819234669809106
"X16PF.Vigilance"	0.43018457552027	-0.263368837464401	-0.0576194335948997
"X16PF.Abstractedness"	0.377167940190239	0.309629302334436	0.209793256573433
"SQ"	-0.231667771091813	-0.0560558792676249	0.0662378929794737
"X16PF.Reasoning"	-0.0633184817964908	0.770244502057855	-0.0999930602063938
"VCI.IQ"	-0.0208691182780092	0.717481492133242	0.0132064709778899
"PRI.IQ"	0.10748428840845	0.625816467576505	-0.0297956128960366
"X16PF.Rule.Conscious"	-0.0589025185339499	-0.451796817013806	-0.00255295569066339
"X16PF.Perfectionism"	0.074299945112094	-0.440842056623592	-0.115279029901329
"X16PF.Open.to.Change"	-0.122068150785819	0.415545184427556	0.328981307316052
"X16PF.Warmth"	-0.138005355894279	-0.141511194243457	0.63162469001241
"X16PF.Liveliness"	-0.138020775571818	0.00775542090952345	0.617291330081434
"X16PF.Social.Boldness"	-0.294700695988851	-0.157607358478446	0.535603793761937
"X16PF.Self.Reliance"	0.0915991119296885	-0.0400639452049083	-0.504716817021175
"X16PF.Privateness"	0.12000684116337	-0.200566788056039	-0.486815206856386
"SNI.People"	-0.262897658397249	0.101103876411433	0.352988987162144
"X16PF.Sensitivity"	-0.0966880683700092	0.128679513910421	0.225595571117213
"X16PF.Dominance"	-0.0801418046886059	-0.181724687674176	0.208201054526994
