"ML1"	"ML2"	"ML3"
"STAI.Trait"	0.877983211681766	-0.0107956964896112	0.0922846242312056
"PSS"	0.853654387734746	-0.0850213593597413	0.159829954225487
"X16PF.Emot..Stabil."	-0.776518667327408	-0.161325610909904	0.00646816568232354
"BDI.Total"	0.675466669563545	-0.136610455777041	0.0543624302179747
"X16PF.Apprehension"	0.664098909474698	0.144837515135981	0.262384723374156
"EQ"	-0.584972681527652	0.120599009800348	0.126351805686282
"PANAS.Positive"	-0.50908884818497	-0.194847464131822	0.168277715091088
"X16PF.Tension"	0.474013178623661	0.17186471503704	0.0547485287502817
"X16PF.Vigilance"	0.435845656728291	-0.255597756392915	0.0495001326128997
"PANAS.Negative"	0.41804539565737	-0.0644626267861008	0.189232448310625
"SNI.People"	-0.342631607928117	0.0958314606652836	0.278133619092124
"SQ"	-0.2397978123654	-0.0602684509154949	0.00802491361262835
"X16PF.Reasoning"	-0.0506420396117078	0.769166382605756	-0.114467877022103
"VCI.IQ"	-0.0360922788756863	0.716975123958959	0.00580013419932835
"PRI.IQ"	0.100461477508054	0.627674095821634	-0.00442977018017375
"X16PF.Rule.Conscious"	-0.0485417959823669	-0.452765873108318	-0.015593150017732
"X16PF.Perfectionism"	0.107873451863222	-0.439260476321134	-0.092547327308863
"X16PF.Open.to.Change"	-0.205755447924678	0.412761780233368	0.28826991297823
"X16PF.Abstractedness"	0.309263406550809	0.315920363235434	0.294431044451709
"X16PF.Dominance"	-0.125182745434249	-0.183466839801203	0.182930175242029
"X16PF.Warmth"	-0.285043394528525	-0.144996322506838	0.579436774014333
"X16PF.Liveliness"	-0.284200103141293	0.00427034449817551	0.565128775385735
"X16PF.Self.Reliance"	0.212356238181905	-0.037586132075597	-0.467147399839174
"X16PF.Social.Boldness"	-0.413353834418277	-0.163709138892001	0.448216386324724
"X16PF.Privateness"	0.238376890533846	-0.197589468089873	-0.442439356503384
"X16PF.Sensitivity"	-0.150930318791046	0.126565323062914	0.194940040629577
