"ML1"	"ML2"	"ML3"	"ML4"
"STAI.Trait"	0.868563981850118	-0.0346087770764459	-0.114830616276056	-0.100810801626324
"PSS"	0.864573584774566	-0.0960049649423116	-0.0456160885002031	-0.0428503838596416
"X16PF.Emot..Stabil."	-0.750381248842403	-0.142569504907798	0.18455842008069	0.108601530508521
"X16PF.Apprehension"	0.712111536776594	0.145423385241332	0.0697070562493471	0.059930185383883
"BDI.Total"	0.669478674590497	-0.130510331391447	-0.117790795429987	0.0453208315059946
"EQ"	-0.537645697564315	0.123983167232427	0.267379169221837	0.0192320047602526
"X16PF.Tension"	0.473872089283613	0.150517672018305	-0.0655255385385445	-0.0666740487208366
"X16PF.Vigilance"	0.455801971744215	-0.205363237663114	-0.128611183105884	0.370767557844147
"PANAS.Negative"	0.454569357401904	-0.0474592542401405	0.0672039477517036	0.0998983655455741
"PANAS.Positive"	-0.443658122243028	-0.133922736926674	0.23666035686205	0.403898398897156
"X16PF.Abstractedness"	0.38379680656888	0.351975567330556	0.18311024713629	0.136827643398407
"X16PF.Reasoning"	-0.069828474730334	0.771474433463687	-0.112046164248164	-0.051517259848199
"VCI.IQ"	-0.0308663707531305	0.698598621933306	0.0203754864720574	-0.115988223298357
"PRI.IQ"	0.108497079400125	0.646724089162923	-0.0492449963367567	0.0377929847884538
"X16PF.Rule.Conscious"	-0.0591637175029217	-0.468036542842544	0.0115225810101977	-0.00207148953962173
"X16PF.Open.to.Change"	-0.113752583315364	0.463622729374411	0.301009941547301	0.199879534917096
"X16PF.Warmth"	-0.137930605865809	-0.164934410466137	0.675783221205537	-0.048465150885369
"X16PF.Liveliness"	-0.134069354732973	0.0246824680051051	0.583950405662968	0.134149411817099
"X16PF.Self.Reliance"	0.0988384444365784	-0.00935148931647759	-0.532894601764914	0.147652023426776
"X16PF.Privateness"	0.126725067512379	-0.180176379060219	-0.524818170564507	0.112038248992509
"X16PF.Social.Boldness"	-0.279205883717756	-0.115191422999374	0.501645196308462	0.305074126941289
"SNI.People"	-0.260730876244764	0.109578244608277	0.334553797022098	0.0851183537985563
"X16PF.Sensitivity"	-0.104083851290718	0.106536475928898	0.258173656595807	-0.140498690596793
"SQ"	-0.212208216223195	0.0476979555578867	-0.0482131446937294	0.652731191615867
"X16PF.Dominance"	-0.054492310160806	-0.104760370165749	0.145789802417116	0.493032298369721
"X16PF.Perfectionism"	0.0926631145122792	-0.396378759572849	-0.182848779278553	0.397789330893492
