"ML1"	"ML2"	"ML3"	"ML4"
"STAI.Trait"	0.875921367974895	-0.0131503740635328	0.100067736224052	-0.0390553342183844
"PSS"	0.850524423091441	-0.0852885618841946	0.172745915763273	-0.0106927655123188
"X16PF.Emot..Stabil."	-0.776764987902205	-0.160754918611758	-0.00694128670695746	-0.00011595550682263
"BDI.Total"	0.672610005850657	-0.139087001062326	0.0670929405412811	0.0700886230594501
"X16PF.Apprehension"	0.66071712026789	0.128305699205912	0.267092261540722	0.111147473915149
"EQ"	-0.5886607667117	0.119570517115818	0.120222935618611	-0.0320007957643759
"PANAS.Positive"	-0.522327002907358	-0.218084567700969	0.173210506353156	0.28900106209715
"X16PF.Tension"	0.476581039288538	0.160520117388615	0.0549833374054127	0.00547622839058404
"X16PF.Vigilance"	0.439712561226226	-0.284606120987126	0.0539251790497614	0.355925848541497
"PANAS.Negative"	0.412851612691552	-0.0683911013291447	0.198302985318026	0.0945191234874253
"SNI.People"	-0.344412654556471	0.0911680416064161	0.267230034317923	0.0285618469908939
"X16PF.Reasoning"	-0.0488705961539628	0.762492063262029	-0.11018682267739	0.139045211203078
"VCI.IQ"	-0.0366649344684534	0.707047891441475	0.0126135294712867	0.0379612495359839
"PRI.IQ"	0.101240237833449	0.621361775456525	0.00752415215724385	0.193598523973336
"X16PF.Perfectionism"	0.104091042134652	-0.476968473490533	-0.0937662440683196	0.33203406964456
"X16PF.Rule.Conscious"	-0.0510386161234574	-0.455569843104939	-0.0189880158130211	-0.110391325836059
"X16PF.Open.to.Change"	-0.211897811318976	0.410174449578519	0.303990913836836	0.229978828521917
"X16PF.Abstractedness"	0.304992879904364	0.313841810771163	0.308153460973163	0.192255197183829
"X16PF.Warmth"	-0.292866266436512	-0.143522448443578	0.592444619186127	-0.218860856886968
"X16PF.Liveliness"	-0.287271767019872	-0.000336021034176681	0.542975760148482	0.0151690449429071
"X16PF.Self.Reliance"	0.213524115234922	-0.0471361120510519	-0.455387382268024	0.245850028041928
"X16PF.Social.Boldness"	-0.420455553652275	-0.175459872439196	0.451656785470018	0.156141679410236
"X16PF.Privateness"	0.244950351157494	-0.205640354273438	-0.451614600423188	0.173968602184337
"X16PF.Sensitivity"	-0.152932206309827	0.137717227818405	0.197276853091515	-0.165240843897176
"SQ"	-0.255651438443583	-0.0994979874448427	0.01098572774657	0.632701939406378
"X16PF.Dominance"	-0.133708595732351	-0.210793016491148	0.204768398815137	0.417178474062371
