"ML1"	"ML2"	"ML3"	"ML4"
"STAI.State.T.Score"	0.760455026900705	-0.0297024573458266	-0.0817858290491998	-0.126142906040285
"STAI.Trait.T.Score"	0.872581191611181	-0.0311035928585291	-0.177190184509431	-0.163200579415139
"BDI.Total"	0.653001563656435	-0.11349830771093	-0.191472214073232	0.0086011090707618
"PANAS.Negative"	0.499797400796874	-0.0398453720096981	0.0312486930053342	0.0823032646745381
"PSS"	0.841685477280571	-0.0836077717192841	-0.131703610311565	-0.0854065056784354
"SQ"	-0.18009100046015	0.0861943266380432	-0.0857372709109225	0.644449501732415
"EQ"	-0.501801774612014	0.111482805125896	0.316090171842596	0.0652644159532725
"PANAS.Positive"	-0.412358365071345	-0.115626593162337	0.223643323100574	0.464493968933781
"X16PF.Tension"	0.453351552441397	0.152036809381908	-0.100466299617259	-0.108933260199063
"X16PF.Emotional.Stability"	-0.708181696302306	-0.14971930187898	0.248233917106091	0.170436358346009
"X16PF.Reasoning"	-0.0813670374939869	0.761380102640403	-0.0671214040476584	-0.111463558276871
"VCI.IQ"	-0.0541065096692275	0.69120007817371	0.0449463033361885	-0.152748672974543
"X16PF.Apprehension"	0.699467039616095	0.155886027766402	-0.0110507360586004	0.0157579504946835
"PRI.IQ"	0.0969808090115215	0.649331502534081	-0.0411463136336198	-0.0140130583427743
"X16PF.Rule.Consciousness"	-0.0589365433190415	-0.468698197481506	-0.00113223107733312	0.0329640525655219
"X16PF.Openness.to.Change"	-0.0788668503422567	0.470243207986842	0.30023237318158	0.207109413269435
"X16PF.Warmth"	-0.0776699505020473	-0.181177800177599	0.671174936281315	0.0362478804456461
"X16PF.Self.Reliance"	0.0401170925943492	0.0177471707065586	-0.566910749039435	0.102223984753884
"X16PF.Privateness"	0.0802071307871547	-0.160215076883129	-0.549715146355344	0.0640557907863129
"X16PF.Liveliness"	-0.0694104773258417	0.0173434034847133	0.584193604701389	0.187576507795769
"X16PF.Social.Boldness"	-0.19991708918541	-0.110096853357364	0.498116102516019	0.371232151978059
"SNI.People.in.Network"	-0.22280760844625	0.103040667656867	0.352295782634402	0.119341992293812
"X16PF.Abstractedness"	0.381802995738711	0.365062396683139	0.128823014946353	0.116688980212257
"X16PF.Perfectionism"	0.104290604538264	-0.367140386689635	-0.235891992608521	0.392321328105058
"X16PF.Dominance"	-0.00312399808062174	-0.0754741952727456	0.107061066285281	0.513442359942506
"X16PF.Vigilance"	0.437919134997444	-0.170220458504595	-0.219632665455238	0.341989729298879
"X16PF.Sensitivity"	-0.100605633966114	0.0940395179400206	0.266157994658935	-0.107924010700066
