"ML1"	"ML2"	"ML3"	"ML4"
"STAI.State.T.Score"	0.760342319574796	-0.0128926852486509	0.148875014784918	-0.0363951121989465
"STAI.Trait.T.Score"	0.900463233807082	-0.0116934979520503	0.090454934093552	-0.035260340549839
"BDI.Total"	0.670017064055059	-0.135832881440227	0.0425921721293343	0.0827101257303901
"PANAS.Negative"	0.446121016108168	-0.0698810859384777	0.213514467407241	0.0981817127932071
"PSS"	0.845135417815376	-0.0807145666272112	0.138797195042099	0.0056068952945351
"SQ"	-0.255728714525505	-0.102676236580313	0.0130966245310844	0.621624616414491
"EQ"	-0.577987146793239	0.117260591922676	0.138778045893163	-0.0364327225106551
"PANAS.Positive"	-0.532453324043219	-0.22109725811002	0.172636959036428	0.294933643350801
"X16PF.Tension"	0.472386043289838	0.16116865036751	0.0368958110460084	0.0108418363472536
"X16PF.Emotional.Stability"	-0.766307485168106	-0.162399290813625	0.0274926589755284	-0.0157884895364981
"X16PF.Reasoning"	-0.0467393673561443	0.7576018037097	-0.0999013366872867	0.130859942974847
"VCI.IQ"	-0.0465760656794987	0.708421280001017	0.000631094731739534	0.0447990134040918
"X16PF.Apprehension"	0.655169266843896	0.129670921167812	0.229671919177289	0.122941117863245
"PRI.IQ"	0.0975228903353003	0.620587668831053	0.00380145543716552	0.19563190568386
"X16PF.Rule.Consciousness"	-0.0547500536776824	-0.456539857609546	-0.0219095234808751	-0.111054896274558
"X16PF.Openness.to.Change"	-0.205266524461467	0.410392272180468	0.30504527635327	0.238272234967353
"X16PF.Warmth"	-0.277104195529699	-0.141698685213968	0.592224112295635	-0.207492333982082
"X16PF.Self.Reliance"	0.188925778977979	-0.0470392625481134	-0.480406375961824	0.25508029201302
"X16PF.Privateness"	0.230258799847031	-0.206157665310802	-0.463584747164787	0.167215506094012
"X16PF.Liveliness"	-0.272015258008204	-0.000342180567158087	0.554464116333537	0.0127611942839873
"X16PF.Social.Boldness"	-0.398909367599144	-0.17707410984243	0.472606150532985	0.155501204043975
"SNI.People.in.Network"	-0.336130923940818	0.0902603425324897	0.277257179141272	0.0247581968363425
"X16PF.Abstractedness"	0.295208785813541	0.315860503630783	0.278996166181391	0.210952180815049
"X16PF.Perfectionism"	0.105225198564554	-0.479242924899667	-0.0964936677816191	0.324303097418478
"X16PF.Dominance"	-0.122493387197298	-0.211996406507954	0.214684250053725	0.418036851142413
"X16PF.Vigilance"	0.419732845426399	-0.282388458617881	0.0216004675602518	0.359941901814962
"X16PF.Sensitivity"	-0.156407795723433	0.138742326530482	0.186300039752736	-0.151763164768476
