"MR1"	"MR2"	"MR4"	"MR3"
"STAI.State.T.Score"	0.781318977161171	-0.00549870127213194	0.00111214609393973	0.0586345120044394
"STAI.Trait.T.Score"	0.888075620334154	-0.0703518400813269	-0.0335906561316352	0.000207230961863883
"BDI.Total"	0.666018228704169	-0.0194891871432221	0.132453623778737	-0.0745243426227776
"PANAS.Negative"	0.513271100550033	0.0144598325942892	0.0968799706029484	0.120847910025267
"PSS"	0.874930398826502	-0.000224217015741077	0.0754299004301911	0.0187361529206751
"SQ"	-0.230322456796744	0.292632933996765	0.403617982099043	-0.19756172085591
"EQ"	-0.494876246174582	0.105339776494132	-0.0870226401236227	0.204409311602421
"PANAS.Positive"	-0.415459621401134	0.114034654777137	0.355287319936897	0.124844623464531
"X16PF.Tension"	-0.0168792885842801	0.900447209091405	-0.000100258701334871	0.0405512891356685
"X16PF.Emotional.Stability"	-0.709431635869396	-0.0594942283675474	0.142490450902929	0.159076740265999
"X16PF.Reasoning"	-0.0980046085594049	0.35211594979524	-0.512517339253893	-0.196955329868868
"VCI.IQ"	-0.0736119271822763	0.308670212040024	-0.532428123378743	-0.0819730412716296
"X16PF.Apprehension"	0.692149707195647	0.1046520195298	-0.0478433776958736	0.0843206614600098
"PRI.IQ"	0.116464036020264	0.348279039565464	-0.366770206838919	-0.123183239837506
"X16PF.Rule.Consciousness"	-0.0923162687609103	-0.390768757327298	0.255484823356407	0.114099673054112
"X16PF.Openness.to.Change"	-0.0168792885842805	0.900447209091401	-0.000100258701335759	0.0405512891356692
"X16PF.Warmth"	-0.0119141886276369	-0.0030740367539962	0.0697867068137531	0.688203993306148
"X16PF.Self.Reliance"	-0.0263102439516884	0.0814273495885107	0.155104129479007	-0.634075724804031
"X16PF.Privateness"	0.0426022891542382	-0.153322870277738	0.181130806450346	-0.483832483504652
"X16PF.Liveliness"	-0.0144492054576351	0.154922129187722	0.0696411774128337	0.559042075861966
"X16PF.Social.Boldness"	-0.171958095795059	0.257324575931735	0.367916406367953	0.392420061183235
"SNI.People.in.Network"	-0.190352544872259	0.0884812223705085	-0.0383080676241811	0.301615762583719
"X16PF.Abstractedness"	0.420668164342017	0.442148312107618	-0.0879368769723666	0.0578157505789956
"X16PF.Perfectionism"	0.0275616613052522	-0.108492370776778	0.560045384114312	-0.201284300381677
"X16PF.Dominance"	-0.00893931801495217	0.329719481788355	0.507642834514042	-0.00617826640804464
"X16PF.Vigilance"	0.423280101982392	0.045607589105739	0.422832717709177	-0.154862239422321
"X16PF.Sensitivity"	-0.0726117021453134	0.109154917620029	-0.149633283263348	0.195817743736769
