"STAI Trait"	"PSS"	"16PF Emot. Stabil."	"16PF Apprehension"	"BDI Total"	"EQ"	"16PF Tension"	"16PF Vigilance"	"PANAS Negative"	"PANAS Positive"	"16PF Abstractedness"	"16PF Reasoning"	"VCI IQ"	"PRI IQ"	"16PF Rule Conscious"	"16PF Open to Change"	"16PF Warmth"	"16PF Liveliness"	"16PF Self Reliance"	"16PF Privateness"	"16PF Social Boldness"	"SNI People"	"16PF Sensitivity"	"SQ"	"16PF Dominance"	"16PF Perfectionism"
"STAI Trait"	1	0.767045425715051	-0.689349371411211	0.611378560846916	0.586659308900131	-0.505160154899531	0.413990147784882	0.33587280899088	0.411134156974919	-0.479429529482687	0.242238142721876	-0.0407988589799969	-0.0331274070738542	0.0428839095913848	-0.0433492435491829	-0.193565710048455	-0.195720762789711	-0.183783069978032	0.0962084297525263	0.133301143174534	-0.320585407601606	-0.296444249448161	-0.105944290460863	-0.210077136118378	-0.114952854239243	0.137744605711434
"PSS"	0.767045425715051	1	-0.632157494695986	0.568289656914742	0.646384486352609	-0.514143108831855	0.365088705593819	0.376021515417351	0.382903272654369	-0.421691753662897	0.319873033451917	-0.128310108027241	-0.0784317959480316	0.0148101568802577	0.0458714103940086	-0.121199901949068	-0.141904020259205	-0.1950449863855	0.131935973311602	0.0891135436036137	-0.243313062098944	-0.290139585789753	-0.106259906889425	-0.214809617140741	-0.02522135337848	0.0907500909794902
"16PF Emot. Stabil."	-0.689349371411211	-0.632157494695986	1	-0.585336516710842	-0.460616596493699	0.354322057585572	-0.427331134829482	-0.316614083442963	-0.310265034685814	0.419184544728865	-0.335728909736586	-0.0523215810269829	-0.0714976307561784	-0.187546993013311	0.0734045990048833	0.0583440605108111	0.211125766315489	0.261950628070766	-0.261074150776179	-0.201381836205191	0.336277940553087	0.26013446696142	0.0732723508584896	0.231160523634395	0.180826056239905	0.0415520502813675
"16PF Apprehension"	0.611378560846916	0.568289656914742	-0.585336516710842	1	0.425426508283258	-0.2792419985481	0.487799128147962	0.368769603760824	0.264275349881599	-0.226136646890865	0.331989727165873	0.051046852922781	0.112934502003964	0.189960848186136	-0.0465244615160459	-0.0170180034199067	-0.00541342537486264	0.00227360106775425	-0.0227221933668949	0.0988552680814135	-0.288815200887599	-0.0316535015663374	0.00335682299640497	-0.0586560144467574	-0.174708038867394	0.154530007947681
"BDI Total"	0.586659308900131	0.646384486352609	-0.460616596493699	0.425426508283258	1	-0.423477483081924	0.161133478060006	0.32217350769317	0.372906046483868	-0.276118678976009	0.214293852390181	-0.18083555403586	-0.109811550956891	0.0789638396004356	0.0164574795880633	-0.151732189341827	-0.13086559874761	-0.210723616422841	0.185560501713852	0.121390657921723	-0.267865628351357	-0.210085312110522	-0.136126719536057	-0.100651746765183	-0.000597048001005151	0.130276435241122
"EQ"	-0.505160154899531	-0.514143108831855	0.354322057585572	-0.2792419985481	-0.423477483081924	1	-0.278271414332671	-0.361470658745413	-0.198108753290455	0.354548814112592	-0.140232774769877	0.0773257453596775	0.172206875256218	-0.0226800373542338	0.142394982316797	0.256094023379376	0.286954633279937	0.162799596569751	-0.114697343168241	-0.311152723655361	0.244900109841389	0.26688523311807	0.200856608209306	0.212802314347297	-0.105149874146552	-0.0628652152060933
"16PF Tension"	0.413990147784882	0.365088705593819	-0.427331134829482	0.487799128147962	0.161133478060006	-0.278271414332671	1	0.272228217696513	0.20595381914814	-0.270473531147172	0.133710290708515	0.142244963719881	0.209259613282183	0.0464958033096472	-0.0887501103971104	-0.133185231542051	-0.154115995095823	-0.00929488289629725	0.0342248289302379	0.0938835234673905	-0.164463717488456	-0.152161280047524	-0.138931595365541	-0.216472888010494	-0.0403130011198401	0.029876604778981
"16PF Vigilance"	0.33587280899088	0.376021515417351	-0.316614083442963	0.368769603760824	0.32217350769317	-0.361470658745413	0.272228217696513	1	0.229188722841199	-0.117341300515753	0.142948896098161	-0.205262862933624	-0.247512722861545	-0.00853572557379242	0.0330958519815591	-0.158187254854329	-0.135857283190822	0.0297937753041592	0.126481823862698	0.337388048731569	-0.0268272956776706	-0.123738149267387	-0.273397071272292	0.0972102828136586	0.174200161226393	0.294700377482082
"PANAS Negative"	0.411134156974919	0.382903272654369	-0.310265034685814	0.264275349881599	0.372906046483868	-0.198108753290455	0.20595381914814	0.229188722841199	1	0.0155541389307692	0.219981924109053	-0.0852532724153431	-0.140651416255821	0.141926038908843	-0.0162959573947272	-0.12722697488439	-0.0202723057526518	-0.033091761253792	0.0221481114017672	-0.0212334868000179	-0.109944624964602	-0.0745773534845639	-0.0671485127662438	-0.0338697877200586	0.0458215721141219	-0.00833462219269698
"PANAS Positive"	-0.479429529482687	-0.421691753662897	0.419184544728865	-0.226136646890865	-0.276118678976009	0.354548814112592	-0.270473531147172	-0.117341300515753	0.0155541389307692	1	-0.0637891389378436	-0.165085132705422	-0.0437151764970973	-0.157419203317504	0.204528187446017	0.0908041525671018	0.26091407824913	0.207090653133059	-0.0539950213641597	-0.179408598592084	0.295619932949098	0.169970703517487	0.0723812775223876	0.42135193835021	0.227768762538628	0.147268169117261
